n,time,r
1,230497,7
2,203483,7
3,208905,7
4,213707,7
5,242144,7
6,201559,7
7,208304,7
8,249973,33
9,242305,92
10,228833,92
11,283443,92
12,342793,289
13,211993,289
14,237985,289
15,289788,360
16,217446,360
17,206500,360
18,235830,360
19,424517,426
20,235849,426
21,221115,426
22,401573,426
23,214008,426
24,218388,426
25,240962,426
26,383952,426
27,276065,426
28,208204,426
29,542197,426
30,443382,426
31,294288,426
32,211301,426
33,826942,477
34,241694,477
35,330895,477
36,183977,477
37,207211,477
38,391580,477
39,282180,477
40,209648,477
41,382348,477
42,192737,477
43,333893,477
44,224663,477
45,494453,477
46,270341,477
47,646996,492
48,251186,492
49,276105,492
50,848905,637
51,302027,637
52,211181,637
53,912606,637
54,447582,637
55,216945,637
56,366169,637
57,271885,637
58,305405,637
59,441037,637
60,273479,637
61,235669,637
62,335266,637
63,244380,637
64,912867,639
65,363122,639
66,851872,674
67,209757,674
68,217636,674
69,195454,674
70,513990,674
71,235359,674
72,229735,674
73,362691,674
74,250756,674
75,295451,674
76,490083,763
77,218448,763
78,242195,844
79,316030,844
80,357098,844
81,396030,844
82,673739,844
83,243899,844
84,308472,844
85,351344,844
86,212845,844
87,217928,844
88,1942721,877
89,182223,877
90,203333,877
91,237053,877
92,267946,877
93,337320,877
94,1125020,924
95,245472,924
96,357538,924
97,349189,924
98,268156,924
99,260378,924
100,397453,924
101,315960,924
102,273469,924
103,865074,924
104,296975,924
105,206380,924
106,372434,924
107,233153,924
108,309605,924
109,222268,924
110,2158733,1025
111,339786,1025
112,376644,1025
113,513839,1025
114,390687,1025
115,285788,1025
116,222197,1025
117,217195,1025
118,679202,1029
119,319669,1029
120,314777,1029
121,349579,1029
122,189439,1029
123,502373,1029
124,224513,1029
125,193309,1029
126,241894,1029
127,338102,1029
128,453025,1029
129,218238,1029
130,377586,1029
131,232882,1029
132,283814,1029
133,263125,1029
134,391770,1029
135,241273,1029
136,262252,1029
137,337962,1029
138,219260,1029
139,416809,1029
140,183375,1029
141,193960,1029
142,1981423,1029
143,353920,1029
144,410815,1029
145,241443,1029
146,248269,1029
147,294108,1029
148,219291,1029
149,478546,1029
150,189209,1029
151,246595,1029
152,226197,1029
153,355674,1029
154,443092,1029
155,199323,1029
156,573320,1029
157,263144,1029
158,235649,1029
159,235880,1029
160,230547,1029
161,212264,1029
162,948240,1136
163,353549,1136
164,253191,1136
165,191595,1136
166,430191,1136
167,333892,1136
168,289026,1136
169,229144,1136
170,451462,1136
171,447262,1136
172,245192,1136
173,418935,1136
174,242816,1136
175,311068,1136
176,1554449,1136
177,283452,1136
178,288083,1136
179,232131,1136
180,253502,1136
181,351434,1136
182,208043,1136
183,263455,1136
184,504026,1136
185,267425,1136
186,329221,1136
187,351625,1136
188,1347618,1195
189,230958,1195
190,946076,1213
191,242446,1213
192,196126,1213
193,350622,1213
194,277499,1213
195,239348,1213
196,194813,1230
197,406024,1230
198,1121602,1288
199,288024,1288
200,369257,1288
201,271203,1288
202,280005,1288
203,227840,1288
204,223751,1288
205,222027,1288
206,325713,1288
207,241954,1288
208,197038,1288
209,218569,1288
210,220824,1288
211,481714,1288
212,243438,1288
213,603783,1288
214,284997,1288
215,261531,1288
216,247708,1288
217,374138,1288
218,283874,1288
219,207372,1288
220,423696,1288
221,443102,1288
222,253782,1288
223,240691,1288
224,429840,1288
225,225786,1288
226,235038,1288
227,255837,1288
228,232963,1288
229,217466,1288
230,1960514,1421
231,254454,1421
232,226437,1421
233,230568,1421
234,338323,1421
235,246184,1421
236,359985,1421
237,215191,1421
238,233625,1421
239,1068877,1421
240,197218,1421
241,224463,1421
242,496779,1444
243,264037,1444
244,206821,1444
245,203353,1444
246,311549,1444
247,320932,1444
248,722775,1444
249,244249,1444
250,223260,1444
251,241944,1444
252,403417,1444
253,187445,1444
254,182152,1444
255,721662,1444
256,216163,1444
257,298138,1444
258,181361,1444
259,237003,1444
260,618668,1444
261,756295,1597
262,225285,1597
263,243879,1597
264,202481,1597
265,3510221,1597
266,313765,1597
267,389916,1597
268,195694,1597
269,266974,1597
270,205177,1597
271,216785,1597
272,353980,1597
273,243688,1597
274,249973,1597
275,212204,1597
276,1509443,1735
277,340658,1735
278,181751,1735
279,985700,1735
280,269881,1735
281,353699,1735
282,215041,1735
283,390076,1735
284,314125,1735
285,296283,1735
286,248981,1735
287,413963,1735
288,487287,1735
289,296193,1735
290,258203,1735
291,255015,1735
292,232743,1735
293,249622,1735
294,464493,1735
295,186483,1735
296,272507,1735
297,570955,1735
298,245804,1735
299,189249,1735
300,224804,1735
301,308452,1735
302,301585,1735
303,229465,1735
304,479338,1735
305,1119197,1794
306,274662,1794
307,230196,1794
308,254134,1794
309,1855905,1794
310,240661,1794
311,641052,1794
312,209377,1794
313,189530,1794
314,266432,1794
315,411296,1794
316,268076,1794
317,213256,1794
318,210430,1794
319,192507,1794
320,493361,1794
321,215512,1794
322,209607,1859
323,262223,1859
324,237664,1859
325,212134,1859
326,247939,1859
327,241322,1859
328,602179,1859
329,270402,1859
330,735195,1859
331,274391,1859
332,599222,1859
333,366971,1859
334,287071,1859
335,383911,1859
336,286019,1859
337,525618,1859
338,191063,1859
339,328079,1859
340,349509,1859
341,350973,1859
342,497260,1859
343,229645,1859
344,326335,1859
345,304653,1859
346,2154474,1947
347,268547,1947
348,223070,1947
349,186052,1947
350,302538,1947
351,583996,1947
352,224723,1947
353,344388,1947
354,215220,1947
355,505931,1947
356,206369,1947
357,314567,1947
358,294960,1947
359,221065,1947
360,374098,1947
361,274983,1947
362,180639,1947
363,188858,1947
364,539981,1947
365,249853,1947
366,207182,1947
367,186903,1947
368,207542,1947
369,1080405,1947
370,239819,1947
371,230838,1947
372,291572,1947
373,495176,1947
374,189209,1947
375,372775,1947
376,190682,1947
377,191715,1947
378,454468,1947
379,371061,1947
380,205818,1947
381,223651,1947
382,237283,1947
383,1252904,1947
384,266352,1947
385,702949,2064
386,279013,2064
387,259707,2064
388,267124,2064
389,553434,2151
390,320251,2151
391,247968,2151
392,485512,2151
393,215200,2151
394,204495,2151
395,291261,2151
396,259817,2151
397,373827,2151
398,234166,2151
399,1070170,2151
400,296473,2151
401,194943,2151
402,216274,2151
403,303701,2151
404,1779263,2225
405,385164,2225
406,291201,2225
407,212134,2225
408,261029,2225
409,200757,2225
410,220944,2225
411,258253,2225
412,576919,2225
413,218900,2225
414,360385,2225
415,227189,2225
416,298549,2225
417,189340,2225
418,207212,2225
419,644149,2225
420,257882,2225
421,239268,2225
422,235679,2225
423,206610,2225
424,192277,2225
425,205999,2225
426,183926,2225
427,693225,2225
428,253492,2225
429,732990,2253
430,210479,2253
431,186162,2253
432,208495,2253
433,224954,2253
434,1137680,2296
435,190141,2296
436,202351,2296
437,286771,2296
438,234717,2296
439,184187,2296
440,210951,2296
441,293186,2296
442,252419,2296
443,285678,2296
444,225395,2296
445,802635,2296
446,232922,2296
447,234917,2296
448,870466,2396
449,783780,2396
450,224513,2396
451,516316,2396
452,197048,2396
453,213917,2396
454,371933,2396
455,371652,2396
456,330094,2396
457,210389,2396
458,278751,2396
459,534779,2396
460,575155,2396
461,530719,2396
462,221195,2396
463,210821,2396
464,339175,2396
465,270382,2396
466,919242,2396
467,209096,2396
468,256319,2396
469,563998,2396
470,312180,2396
471,478445,2396
472,228613,2396
473,192717,2396
474,298298,2396
475,237674,2396
476,187405,2396
477,287172,2396
478,215832,2396
479,497591,2396
480,203433,2396
481,208936,2396
482,202881,2396
483,258183,2396
484,208455,2396
485,207072,2396
486,337631,2396
487,212023,2396
488,251727,2396
489,221465,2396
490,1446012,2424
491,251046,2424
492,391710,2424
493,294209,2424
494,226809,2424
495,343796,2463
496,232692,2463
497,262833,2463
498,5846536,2463
499,390517,2463
500,219721,2463
501,222578,2463
502,192407,2463
503,190412,2463
504,212324,2463
505,260468,2463
506,1902675,2503
507,214159,2503
508,354130,2503
509,227610,2503
510,290540,2503
511,934949,2503
512,332258,2503
513,331607,2503
514,294559,2503
515,218208,2503
516,215892,2503
517,240531,2503
518,256378,2503
519,358411,2503
520,194592,2503
521,192537,2503
522,215271,2503
523,235329,2503
524,238225,2503
525,371191,2503
526,377346,2503
527,389404,2503
528,232181,2503
529,210229,2503
530,722745,2503
531,448464,2503
532,227600,2503
533,233234,2503
534,285417,2503
535,396271,2503
536,597538,2503
537,214509,2503
538,181321,2503
539,188968,2503
540,1510636,2503
541,353028,2503
542,335516,2503
543,305545,2503
544,205036,2503
545,677739,2503
546,190803,2503
547,1186596,2547
548,223190,2547
549,324179,2547
550,371071,2547
551,275694,2547
552,398946,2547
553,217877,2547
554,254173,2547
555,212855,2547
556,519814,2547
557,229956,2547
558,691521,2608
559,250113,2672
560,230738,2672
561,194181,2672
562,472131,2672
563,211923,2672
564,421239,2672
565,190823,2672
566,391168,2672
567,246716,2672
568,231138,2672
569,351795,2672
570,647356,2672
571,215181,2672
572,463470,2672
573,450750,2672
574,206390,2672
575,384543,2672
576,224102,2672
577,353509,2672
578,273620,2672
579,482636,2672
580,253833,2672
581,233033,2672
582,373988,2672
583,310427,2672
584,322486,2672
585,212124,2672
586,223781,2672
587,313464,2672
588,430001,2672
589,418013,2672
590,191003,2672
591,287312,2672
592,691542,2672
593,348818,2672
594,194050,2672
595,212454,2672
596,189670,2672
597,337400,2672
598,299882,2672
599,237423,2672
600,230387,2672
601,220113,2672
602,203453,2672
603,193379,2672
604,288946,2672
605,394376,2672
606,217355,2672
607,213196,2672
608,683723,2672
609,189510,2672
610,227801,2672
611,401072,2672
612,330765,2672
613,480189,2672
614,375050,2672
615,407988,2672
616,215802,2672
617,515343,2672
618,225555,2672
619,194341,2672
620,291131,2672
621,210420,2672
622,234276,2672
623,385154,2672
624,221475,2672
625,2368091,2675
626,268718,2675
627,263776,2675
628,340178,2675
629,310196,2675
630,211011,2675
631,282120,2675
632,773074,2675
633,213216,2675
634,201188,2675
635,749168,2675
636,217736,2704
637,183646,2704
638,210530,2704
639,654794,2704
640,328229,2704
641,208966,2704
642,190152,2739
643,745680,2739
644,358210,2739
645,505219,2739
646,196586,2752
647,263836,2752
648,222328,2752
649,916785,2752
650,669028,2752
651,212965,2752
652,890945,2752
653,217085,2752
654,239228,2752
655,204496,2752
656,335536,2752
657,292765,2752
658,794667,2752
659,260869,2752
660,230036,2752
661,189940,2752
662,1393237,2752
663,206891,2752
664,414845,2752
665,282681,2752
666,347996,2752
667,323026,2752
668,602901,2752
669,1383162,2771
670,412450,2771
671,217707,2771
672,210610,2835
673,234156,2921
674,191444,2921
675,416880,2921
676,327839,2921
677,599272,2921
678,297355,2921
679,257120,2952
680,256539,2952
681,242937,2952
682,223120,2952
683,258523,2952
684,458578,2952
685,375862,2952
686,273268,2952
687,321934,2952
688,289036,2952
689,253572,2952
690,243578,2952
691,274682,2952
692,548612,2952
693,823465,2952
694,422523,2952
695,381646,2952
696,234787,2952
697,643557,2952
698,233083,2952
699,315919,2952
700,243348,2952
701,212063,2952
702,337461,2952
703,207642,2952
704,212735,2952
705,202380,2952
706,1003071,2952
707,193970,2952
708,222739,2952
709,251216,2952
710,246475,2952
711,389655,2952
712,415616,2952
713,371021,2952
714,327397,2952
715,436326,2952
716,205969,2952
717,195895,2952
718,257742,2952
719,241263,2952
720,462848,2952
721,221666,2952
722,811767,2952
723,221145,2952
724,538819,2952
725,228502,2952
726,191976,2952
727,309314,2952
728,239819,2952
729,202531,2952
730,193860,2952
731,1023088,2952
732,190241,2952
733,447332,2952
734,410094,2952
735,494324,2952
736,198702,2952
737,323558,2952
738,383370,2952
739,879397,2952
740,308863,2952
741,364284,2952
742,481553,2952
743,187666,2952
744,283814,2952
745,622256,2952
746,245924,2952
747,483157,2952
748,239468,2952
749,563477,2952
750,212063,2952
751,213747,2952
752,362831,2952
753,273058,2952
754,220643,2952
755,1650157,2952
756,994601,2952
757,420989,2952
758,349580,2952
759,195153,2952
760,193479,2952
761,263004,2952
762,188768,2952
763,192888,2952
764,228141,2952
765,505600,2952
766,341200,2952
767,260669,2952
768,191655,2952
769,194021,2952
770,290489,2952
771,247097,2952
772,240330,2952
773,193699,2967
774,379902,2967
775,214158,2967
776,644991,2967
777,318746,2967
778,215451,2967
779,409512,2967
780,259797,2967
781,223049,2967
782,242566,2967
783,269690,2967
784,286079,2967
785,493150,2967
786,231400,2967
787,237273,2967
788,243438,2967
789,849907,2967
790,225675,2967
791,211472,2967
792,243207,2967
793,571476,2967
794,205748,2967
795,212023,2967
796,221997,2967
797,222828,2967
798,225054,2967
799,442972,2967
800,444745,2967
801,234316,2967
802,367743,2967
803,190963,2967
804,186122,2967
805,292083,2967
806,343245,2967
807,365147,2967
808,337411,2967
809,1608558,2967
810,273699,2967
811,191174,2967
812,221917,2967
813,290479,2967
814,196417,2967
815,264708,2967
816,191004,2967
817,231118,2967
818,221275,2967
819,1035357,2967
820,227801,3065
821,438200,3065
822,471439,3065
823,209217,3065
824,2066675,3065
825,213105,3065
826,262723,3065
827,193369,3065
828,390998,3065
829,190493,3065
830,236411,3065
831,230677,3065
832,218028,3065
833,184548,3065
834,192717,3065
835,236571,3065
836,913798,3065
837,304903,3065
838,390427,3065
839,227740,3065
840,226428,3065
841,253592,3065
842,241453,3065
843,187375,3065
844,465545,3065
845,377175,3065
846,325042,3065
847,206440,3065
848,215712,3065
849,242626,3065
850,248260,3065
851,559257,3065
852,296563,3065
853,191524,3065
854,288675,3065
855,357889,3065
856,262663,3065
857,448645,3065
858,189329,3065
859,725532,3065
860,434390,3065
861,195464,3065
862,694408,3065
863,203603,3065
864,296624,3065
865,225034,3065
866,217436,3065
867,306207,3065
868,384513,3065
869,228773,3065
870,192307,3065
871,304383,3065
872,227059,3065
873,357398,3065
874,240291,3065
875,494925,3065
876,292555,3065
877,231690,3065
878,257862,3065
879,274542,3065
880,335587,3065
881,2080939,3065
882,267114,3065
883,305175,3065
884,640881,3065
885,275444,3065
886,228683,3065
887,1328243,3101
888,224262,3101
889,203223,3101
890,332068,3101
891,210740,3101
892,304974,3101
893,221004,3101
894,593508,3101
895,732468,3101
896,335416,3101
897,195534,3101
898,339887,3101
899,295752,3101
900,536263,3101
901,390116,3101
902,187816,3101
903,236562,3101
904,349560,3101
905,273570,3101
906,246936,3101
907,242485,3101
908,288525,3101
909,260849,3101
910,692945,3101
911,254283,3101
912,249853,3101
913,214349,3101
914,197138,3101
915,1486027,3101
916,363994,3101
917,386087,3101
918,331678,3101
919,307279,3101
920,208736,3101
921,223129,3101
922,286109,3101
923,426121,3101
924,235138,3101
925,234457,3101
926,211863,3101
927,287542,3101
928,248821,3101
929,463209,3101
930,238386,3101
931,260709,3101
932,307459,3101
933,741179,3101
934,293837,3101
935,310868,3101
936,347545,3101
937,352627,3101
938,501721,3101
939,698949,3101
940,433860,3101
941,229716,3101
942,270272,3101
943,742221,3101
944,220342,3101
945,407748,3101
946,227780,3101
947,234437,3101
948,316461,3101
949,263385,3101
950,662172,3101
951,921788,3101
952,255626,3101
953,315760,3101
954,301124,3101
955,430922,3101
956,234356,3101
957,248650,3101
958,232201,3101
959,381375,3101
960,264047,3101
961,189891,3101
962,319468,3101
963,238375,3101
964,268076,3101
965,1233778,3101
966,482064,3101
967,494744,3101
968,310817,3101
969,227500,3101
970,280867,3101
971,916034,3101
972,11536471,3101
973,295802,3101
974,214980,3101
975,270633,3101
976,340910,3101
977,223520,3101
978,192968,3101
979,363934,3101
980,268778,3101
981,485923,3101
982,771801,3101
983,190933,3101
984,204395,3101
985,236762,3101
986,264708,3101
987,1720613,3200
988,358992,3200
989,202100,3200
990,248269,3200
991,542979,3200
992,540513,3200
993,1079943,3200
994,335817,3200
995,278200,3200
996,204255,3200
997,338604,3200
998,385655,3200
999,266422,3200
1000,217106,3200
1001,315199,3200
1002,471419,3200
1003,268078,3200
1004,425439,3200
1005,227075,3200
1006,538469,3200
1007,236303,3200
1008,211015,3200
1009,369192,3200
1010,731792,3218
1011,231143,3218
1012,202279,3218
1013,314830,3218
1014,278151,3218
1015,371357,3218
1016,453079,3218
1017,187271,3218
1018,591008,3239
1019,191839,3239
1020,269555,3239
1021,467747,3239
1022,296596,3239
1023,311605,3239
1024,588332,3239
1025,306985,3239
1026,286407,3239
1027,273072,3239
1028,424756,3239
1029,806432,3239
1030,991669,3239
1031,253615,3239
1032,410320,3239
1033,616996,3239
1034,190266,3239
1035,598872,3286
